Šifra;Naziv;Serijski broj;Status;Lokacija;Trenutna vrednost
091-450-0013;STOLICA KAFANSKE S-6;SN091-450-0013;available;;1000
091-480-0004;STO RF;SN091-480-0004;available;;1000
091-480-0005;OCEDNI STO;SN091-480-0005;available;;1000
091-480-0006;STALAÅ½A FINANSIJE;SN091-480-0006;available;;1000
091-500-0026;FRIZIDER;SN091-500-0026;available;;1000
091-500-0027;ELEKTRIÃˆNI Å PORET;SN091-500-0027;available;;1000
091-450-0014;VITRINA ZA ÃˆAÅ E I VINO;SN091-450-0014;available;;1000
090-231-0006;FISK.KASA COLIBRI;SN090-231-0006;available;;1000
091-470-0007;SUDOPERA DVODELNA 800X600;SN091-470-0007;available;;1000
091-470-0008;KUHINJSKI ELEMENTI -D40;SN091-470-0008;available;;1000
091-470-0009;KUHINJSKI ELEMENTI D80;SN091-470-0009;available;;1000
091-470-0010;KUHINJSKI ELEMENT D80 S;SN091-470-0010;available;;1000
091-470-0011;STO OKRUGLI BAÅ TA;SN091-470-0011;available;;1000
090-231-0007;FISK.KASA FAVOURITE;SN090-231-0007;available;;1000
096-100-0006;MASINA ZA RAMENE MISICE;SN096-100-0006;available;;1000
096-110-0007;KLUPA ZA MISICE RUKU;SN096-110-0007;available;;1000
091-410-0018;POLICA;SN091-410-0018;available;;1000
077-110-0008;BOSH AKU BUSILICA2909SR 270;SN077-110-0008;available;;1000
109-110-0058;KOMODA 3 DELA BRAON;SN109-110-0058;available;;1000
109-610-0058;PODIJUM FLIJA2022 SIVI ITISON;SN109-610-0058;available;;1000
109-300-0059;PC AMD SempronII/64 ofis opt 1;SN109-300-0059;available;;1000
109-300-0060;PC AMD A-sries/64 e350 Office;SN109-300-0060;available;;1000
109-300-0061;WBS OFFICE E3400/G41;SN109-300-0061;available;;1000
109-610-0061;BRAVICE;SN109-610-0061;available;;1000
109-610-0062;ALUMINIJSKI PROFIL S108.H 270;SN109-610-0062;available;;1000
109-610-0063;ALUMINIJSKI PROFIL Z400.1  385;SN109-610-0063;available;;1000
109-610-0064;ALUMINISKI PROFIL Z400.1   200;SN109-610-0064;available;;1000
109-610-0065;LESONIT TABLE     260;SN109-610-0065;available;;1000
109-610-0067;BRAVICE SA OKTANORM-TRI SAPE;SN109-610-0067;available;;1000
109-300-0064;MONITOR 18.5 ASUS VW190DE.;SN109-300-0064;available;;1000
109-610-0068;LAMINAT CRONO KRONOFIX 731;SN109-610-0068;available;;1000
091-610-0016;DOZIR PUMPA ETATRON DLX/AD 1/1;SN091-610-0016;available;;1000
091-620-0005;MASINA ZA SECKANJE HLEBA;SN091-620-0005;available;;1000
121-900-0005;POCETNO STANJE 2009G;SN121-900-0005;available;;1000
121-900-0006;KASPERSKI PROGRAM;SN121-900-0006;available;;1000
121-900-0007;PRIKLJUCAK ZA INTERNET;SN121-900-0007;available;;1000
121-900-0008;PROGRAMI ZA KOMPJUTERE;SN121-900-0008;available;;1000
077-110-0004;KLJESTA ZA TELEFON;SN077-110-0004;available;;1000
077-110-0005;PLOCICA ZIDNA;SN077-110-0005;available;;1000
077-110-0006;DRZAC ZA KABLOVE;SN077-110-0006;available;;1000
077-110-0007;AND LEMILICA ERSA 30;SN077-110-0007;available;;1000
105-200-0001;NATKIT DC 250;SN105-200-0001;available;;1000
105-200-0002;NOZ GILJOTINA;SN105-200-0002;available;;1000
091-420-0010;JARBOL MONT 3K;SN091-420-0010;available;;1000
109-110-0057;RADNI STO;SN109-110-0057;available;;1000
103-100-0037;PRO-HD RECORD/PLEY JVC 50E;SN103-100-0037;available;;1000
103-100-0038;PRO-HD PORTABLE DTE REKOR;SN103-100-0038;available;;1000
091-440-0011;RADNI STO ROS.SA FIOKAMA;SN091-440-0011;available;;1000
109-700-0016;UPSMIKOM SMART1800;SN109-700-0016;available;;1000
109-300-0053;SERVER ZA TELEFONSKU CENTRALU;SN109-300-0053;available;;1000
109-300-0054;HP LASERJET P1102 STAMPAC;SN109-300-0054;available;;1000
109-120-0013;BARSKA STOLICA;SN109-120-0013;available;;1000
109-300-0055;VOX DVD PLEJER PDVD-4655;SN109-300-0055;available;;1000
109-610-0059;PODIJUM FOLIJA 2024 T.SIVI;SN109-610-0059;available;;1000
108-400-0004;KLIMA-VIVAX-12;SN108-400-0004;available;;1000
108-400-0005;KLIMA-VIVAX;SN108-400-0005;available;;1000
109-300-0056;HP LJ P2055;SN109-300-0056;available;;1000
109-610-0060;BRAVICE ZA OKTANORM-TRI SAPE;SN109-610-0060;available;;1000
090-231-0008;FISKALNI SET;SN090-231-0008;available;;1000
109-300-0057;PC AMD Sempron II/64 LE-140 of;SN109-300-0057;available;;1000
109-300-0058;STAMPAC LASER A4 HP P1566;SN109-300-0058;available;;1000
090-231-0009;FISKALNI SET II;SN090-231-0009;available;;1000
121-900-0010;SOFTVER METALIK;SN121-900-0010;available;;1000
109-400-0006;KLIMA-VIVAX-CP12CH;SN109-400-0006;available;;1000
091-620-0046;BOJLERBTCR 80L TR;SN091-620-0046;available;;1000
111-120-0001;AGREGAT ZA STRUJU;SN111-120-0001;available;;1000
091-500-0028;ZAMRZIVAÃˆ DUBEÃ†I;SN091-500-0028;available;;1000
109-610-0066;STAKLO BRUSENO;SN109-610-0066;available;;1000
091-420-0011;PROFILI ZA REKLAMU;SN091-420-0011;available;;1000
098-200-0001;FIAT DUCATO-FURGON;SN098-200-0001;available;;1000
091-500-0029;ZAMRZIVAÃˆ SANDUÃˆAR;SN091-500-0029;available;;1000
109-300-0062;PC AMD Athlon II/64 Office;SN109-300-0062;available;;1000
109-300-0063;PC INTEL BASIC OFFICE;SN109-300-0063;available;;1000
121-900-0011;SPEDICIJA 2003 FULL;SN121-900-0011;available;;1000
121-901-0001;OFISICE PRO PLUS ALNG LIC;SN121-901-0001;available;;1000
121-901-0002;WIN SVR STD ALNG LIC 1Y;SN121-901-0002;available;;1000
121-901-0003;GGW WINPRO7 SNGL OLP NL;SN121-901-0003;available;;1000
121-901-0004;PROGE CAD 2010 PROFESSIONAL EN;SN121-901-0004;available;;1000
121-900-0012;RACUNARSKI SOFTWARE 16.05.2011;SN121-900-0012;available;;1000
121-900-0013;RACUNARSKI SOFTWARE 18.05.2011;SN121-900-0013;available;;1000
121-900-0014;RACUNARSKI SOFTWARE 14.06.2011;SN121-900-0014;available;;1000
121-900-0015;RACUNARSKI SOFTWARE 11.07.2011;SN121-900-0015;available;;1000
121-900-0016;PANDA CLOUD PCOP+PCEP 1Y;SN121-900-0016;available;;1000
121-900-0017;RACUNARSKI SOFTWARE;SN121-900-0017;available;;1000
091-480-0007;INOX PULT STO;SN091-480-0007;available;;1000
091-500-0030;RESO  R-2 2500W 180+145;SN091-500-0030;available;;1000
091-480-0008;INOX POLICE;SN091-480-0008;available;;1000
091-480-0009;INOX SUDOPERA;SN091-480-0009;available;;1000
091-500-0031;ZAMRZIVAC;SN091-500-0031;available;;1000
091-500-0032;FRIZIDER;SN091-500-0032;available;;1000
091-620-0047;ELEKTRICNA VAGA;SN091-620-0047;available;;1000
091-620-0048;VAGA TEGOVNA;SN091-620-0048;available;;1000
091-620-0049;MESOREZNICA;SN091-620-0049;available;;1000
091-450-0015;BARSKI STOLOVI;SN091-450-0015;available;;1000
091-480-0010;INOX PULT STO;SN091-480-0010;available;;1000
091-480-0011;ZIDNA POLICA ROSTRFRAJ;SN091-480-0011;available;;1000
091-620-0050;ELEKTRICNA VAGA;SN091-620-0050;available;;1000
091-620-0051;MESOREZNICA;SN091-620-0051;available;;1000
091-450-0016;STO SA 8 SEDISTA;SN091-450-0016;available;;1000
091-450-0017;BARSKI STOLOVI;SN091-450-0017;available;;1000
109-230-0006;RAC.MASINA TRICOM 1420;SN109-230-0006;available;;1000
109-600-0002;CD CAR JVS RADIO ZA KOLA;SN109-600-0002;available;;1000
109-600-0003;ZVUCNICI JVC CS V624;SN109-600-0003;available;;1000
109-130-0004;FOTELJA KOZNA;SN109-130-0004;available;;1000
109-120-0002;STOLICA B 300 METALNA SIVA;SN109-120-0002;available;;1000
109-110-0005;STO KOMPO 141X80;SN109-110-0005;available;;1000
109-110-0006;STO KOMPO 80X60;SN109-110-0006;available;;1000
109-110-0007;STO KOMPO 80X60;SN109-110-0007;available;;1000
109-110-0008;ORMAN ZATVOREN 73X80;SN109-110-0008;available;;1000
109-120-0003;KASETA ZA NOVAC;SN109-120-0003;available;;1000
109-120-0004;SEF;SN109-120-0004;available;;1000
109-110-0009;ORMAN KASETA;SN109-110-0009;available;;1000
109-130-0005;ORMAN ZATVOREN STAKLO;SN109-130-0005;available;;1000
102-100-0010;PANASONIK KX F2781 BX;SN102-100-0010;available;;1000
109-120-0005;ORMAN SA DVE BRAVICE -METALNI;SN109-120-0005;available;;1000
102-100-0011;TELEFON PANASONIK TS 5;SN102-100-0011;available;;1000
108-400-0001;KLIMA UREDJAJ HAS-12HM5-G;SN108-400-0001;available;;1000
109-300-0014;PC SKLOP 6/07/01;SN109-300-0014;available;;1000
109-300-0015;PC SKLOP 6/07/02;SN109-300-0015;available;;1000
109-300-0016;PC SKLOP 6/07/03;SN109-300-0016;available;;1000
109-110-0010;STO KANCELARIJSKI;SN109-110-0010;available;;1000
109-700-0007;FRIZIDER LG;SN109-700-0007;available;;1000
109-110-0011;KLUB STO-MALI ZELENI OKRUGLI;SN109-110-0011;available;;1000
109-130-0006;FOTELJA ASTRA;SN109-130-0006;available;;1000
109-130-0007;DVOSED ASTRA;SN109-130-0007;available;;1000
109-300-0017;STAMPAC LASERSKI A4;SN109-300-0017;available;;1000
109-600-0009;TV SAMSUNG;SN109-600-0009;available;;1000
109-300-0018;STAMPAC SKENER HP F2180;SN109-300-0018;available;;1000
109-300-0019;PC PENTIUM SKLOP 4;SN109-300-0019;available;;1000
109-300-0020;RACUNAR P4 AMD;SN109-300-0020;available;;1000
109-130-0008;KUHINJA;SN109-130-0008;available;;1000
109-600-0012;RADIO ZA PUNTA;SN109-600-0012;available;;1000
